Airline,Duration,Total stops,Price,Date,Source,Destination
IndiGo,22h 55m,1 stop,"₹ 23,570",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 27,283",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 41,038",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 41,038",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 16,845",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 16,734",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 16,433",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
